manufacturer,sku,colour_name,hex,lab_l,lab_a,lab_b,matched_standard
Canada Brick,CB-COASTAL-FOG-AVANTI,Buff,#A39683,62.708,1.5812,11.7669,Grey
Canada Brick,CB-CONESTOGA,Buff,#A89D8C,65.2254,1.0973,10.3439,Grey
Canada Brick,CB-BALLYCROY-SMOOTH,Buff,#B09C77,65.2307,1.7261,22.109,Buff
Canada Brick,CB-HUDSON,Gray,#7D6D5E,47.1125,3.7338,10.6995,Grey
Canada Brick,CB-MYSTIC-GREY-CONTEMPORARY-BRICK,Gray,#918678,56.5118,1.6804,9.0354,Grey
Canada Brick,CB-MYSTIC-GREY-TUMBLED-VINTAGE-BRICK,Gray,#8A7F72,53.8109,1.8806,8.5812,Grey
Canada Brick,CB-OBSIDIAN-ARCHITECTURAL-LINEAR-SERIES-BRICK,Gray,#7D8588,54.9822,-2.3051,-2.6243,Grey
Canada Brick,CB-HERITAGE-GREY,Gray,#C5AB8F,71.5409,5.1539,17.9146,Buff
Canada Brick,CB-CREEKSIDE-VELOUR-2,Gray,#A39F95,65.5557,-0.3684,5.7307,Grey
Canada Brick,CB-CHARCOAL-ARCHITECTURAL-LINEAR-SERIES-BRICK,Gray,#91908E,59.8157,-0.0132,1.1916,Grey
Canada Brick,CB-PORTLAND,Gray,#716866,44.7599,3.1573,2.4031,Grey
Canada Brick,CB-CREEKSIDE-VELOUR,Gray,#A39E94,65.2618,0.0046,5.8675,Grey
Canada Brick,CB-CREEKSIDE-MATT,Gray,#A49C91,64.7347,0.9591,6.8019,Grey
Canada Brick,CB-LAKESHORE,Pastel,#C8B9AB,76.0186,2.9723,9.0223,Cream
Canada Brick,CB-TRINITY,Red,#6E432E,32.9768,16.2046,20.4534,Brown
Canada Brick,CB-ANTIQUE-COPPER,Red,#8C6C59,48.2875,9.9305,15.5231,Brown
Canada Brick,CB-BROOKVIEW-MATT,Red,#896B5A,47.7161,9.3755,14.0968,Brown
Canada Brick,CB-BROOKVIEW-SMOOTH,Red,#8C6B59,48.0224,10.5142,15.1603,Brown
Canada Brick,CB-BROOKVIEW-SMOOTH-IRONSPOT,Red,#866A5A,47.1245,8.6896,13.2299,Brown
Canada Brick,CB-CAVENDISH-II,Red,#815B4D,42.2849,13.6707,14.2735,Red
Canada Brick,CB-CHATEAU-LOCAS,Red,#7B594C,41.0208,12.136,13.0337,Red
Canada Brick,CB-COPPER-BARK,Red,#925E40,44.9228,17.9077,25.8424,Orange
Canada Brick,CB-COPPER-MATT,Red,#957358,51.1007,9.5834,20.0771,Orange
Canada Brick,CB-COPPER-SMOOTH,Red,#9E7A5D,54.0042,9.9991,21.2611,Orange
Canada Brick,CB-COPPER-SMOOTH-IRONSPOT,Red,#A98367,57.7003,10.7138,20.7447,Orange
Canada Brick,CB-FULL-RANGE-BARK,Red,#7B553C,39.638,12.6246,20.8538,Red
Canada Brick,CB-FULL-RANGE-RUGG,Red,#805841,41.137,13.6015,19.9365,Red
Canada Brick,CB-HERITAGE-RUST,Red,#805743,40.9139,14.4169,18.4434,Orange
Canada Brick,CB-MEDIUM-RANGE-RUGG,Red,#82583D,41.3148,14.0756,22.5916,Orange
Canada Brick,CB-MEDIUM-RANGE-SHALETEX,Red,#8E6046,45.0238,15.5738,22.3775,Orange
Canada Brick,CB-PORT-CARLING,Red,#886357,45.4226,13.2422,12.699,Red
Canada Brick,CB-RIVERDALE-BARK,Red,#8A533D,41.0994,20.5364,22.5269,Red
Canada Brick,CB-RIVERDALE-BRUSHTEX,Red,#965D45,45.2793,20.6728,23.4939,Red
Canada Brick,CB-RIVERDALE-MATT,Red,#976F5B,50.3385,13.1073,17.3469,Orange
Canada Brick,CB-RIVERDALE-RUGG,Red,#8C583E,42.6163,18.5898,23.9255,Brown
Canada Brick,CB-RIVERDALE-SMOOTH,Red,#986C57,49.6034,14.7804,18.7077,Red
Canada Brick,CB-RIVERDALE-SMOOTH-IRONSPOT,Red,#956C5A,49.3172,13.8734,16.5056,Red
Canada Brick,CB-ROBINDALE,Red,#826356,44.7186,10.5551,12.2183,Brown
Canada Brick,CB-SPADINA,Red,#6B5F5C,41.3476,4.2534,3.4733,Burgundy
Canada Brick,CB-TALBOT-ANTIQUE,Red,#785140,38.2841,14.1291,16.5867,Red
Canada Brick,CB-TALBOT-SQUARE,Red,#724D3C,36.3882,13.4073,16.3785,Red
Canada Brick,CB-TAUPE-BARK,Red,#816040,43.3643,9.1906,23.4337,Brown
Canada Brick,CB-TERRA-NOVA-2,Red,#7F5C44,42.1291,11.1108,19.428,Brown
Canada Brick,CB-50-BARK,Red,#83573A,41.132,14.825,24.1501,Orange
Canada Brick,CB-VARSITY-MATT,Red,#8E6654,46.8346,13.6483,16.5324,Brown
Canada Brick,CB-VARSITY-SMOOTH,Red,#9D7361,52.1665,14.0709,16.4547,Orange
Canada Brick,CB-VARSITY-SMOOTH-IRONSPOT,Red,#8B6959,47.383,11.2591,14.265,Brown
Canada Brick,CB-VINTAGE-BARK,Red,#7E523A,39.2001,15.5583,21.5604,Brown
Canada Brick,CB-WELLINGTON,Red,#543832,26.5731,11.5881,8.7767,Burgundy
